signal,complexity_rank,train_mean_ic,validation_mean_ic,validation_hit_rate,interpretability_rank,development_test_mean_ic_report_only
signal_reversal_only,1,0.015380383388646604,0.0042046132936672,0.5217965653896962,1,0.00808261580377154
signal_reversal_liquidity_vol,2,0.014029354821357578,0.00037738814811556786,0.5033025099075297,2,0.011875349085060148
signal_regularised_linear,3,0.03611724902208822,0.023198880589693494,0.5640686922060766,3,-0.006386573989130306
