period,standard_sharpe,lo_adjusted_sharpe_q5,n_days,autocorr_lag_1,autocorr_lag_2,autocorr_lag_3,autocorr_lag_4,autocorr_lag_5
train,0.3950154791352082,0.3852953289342447,2244,-0.018688648855497807,0.07738796327028902,0.0001321850696207162,-0.02532097306810715,-0.01258714485662024
validation,1.3777632456459996,1.1520470890399237,757,0.09201004168324785,0.08177434136301609,0.12957608555163794,0.01974930561139529,0.0753436633388394
development_test,0.14121722955318788,0.1371789870834625,752,0.0077657926356505345,0.04597409194419379,-0.02818949428701297,0.028264845552812584,-0.015460217357132669
full_2010_2024,0.5796360999574535,0.5168146348626856,3753,0.0498592752449291,0.06988978622321702,0.05694351752862932,0.02028943061896332,0.033392728427760185
