window,start_date,end_date,n_days,gross_return,net_return,net_annualised_vol,net_sharpe,max_drawdown,avg_deployed_gross_ratio,avg_turnover,total_cost_drag,borrow_cost_drag
late_2018_drawdown,2018-10-01,2018-12-31,63,0.01733282338794484,0.005716340982660384,0.04788335658264313,0.4997372835470807,-0.015396319413418014,0.40502744170047444,0.8100548834009489,0.011488786889831314,0.0012820953589793584
covid_2020_q1,2020-02-01,2020-03-31,41,0.08879350478667392,0.08096600998375836,0.19896578059618697,2.5027568739050725,-0.048086795281188977,0.40373484908635315,0.8074696981727063,0.007230607289282553,0.0006093557642663629
rate_inflation_2022,2022-01-01,2022-12-31,251,-0.031776483316619974,-0.07478884931372987,0.07181241869903379,-1.0509405561956076,-0.08202258719258693,0.415815900728196,0.831631801456392,0.04544522896835085,0.0036973125352399746
