signal_group,period,mean_ic,median_ic,ic_std,icir,positive_ic_day_fraction,n_days
reversal,full_2010_2024,0.01168261584205979,0.013198833699185404,0.1750343390298047,1.0595393916000828,0.5469247083775186,3772
reversal,train,0.015380383388646604,0.017667383518354774,0.1461330366631286,1.6707790563058271,0.5638532920901458,2263
reversal,validation,0.0042046132936672,0.0059176559714207745,0.2212659534664082,0.301655838866194,0.5217965653896962,757
reversal,development_test,0.00808261580377154,0.0080352468404277,0.2003052242367777,0.640560168347328,0.5212765957446809,752
liquidity_volatility,full_2010_2024,-0.0031678908920189683,-0.0029625071890091005,0.2054889762812722,-0.2447270398407049,0.4941675503711559,3772
liquidity_volatility,train,-0.004923230628026171,-0.004414203896646338,0.18486868321572994,-0.42275339431850106,0.4896155545735749,2263
liquidity_volatility,validation,-0.015892685179024573,-0.026319164796766527,0.23026302787770028,-1.0956537756745057,0.46499339498018494,757
liquidity_volatility,development_test,0.014923868546608087,0.025838419386947423,0.23497880791818646,1.0082146161987056,0.5372340425531915,752
short_borrow,full_2010_2024,0.001849044383391389,0.002437801834404894,0.09635807428091657,0.3046207578191454,0.51033934252386,3772
short_borrow,train,0.0012118162030324644,0.0032711860916161623,0.08269259850367046,0.23263249910813813,0.5148033583738401,2263
short_borrow,validation,-0.005532586722572354,-0.00406696800780908,0.08936323973399844,-0.9828100649705084,0.4795244385733157,757
short_borrow,development_test,0.011197371669783412,0.014122344385523327,0.13357937597488004,1.3306901859480813,0.5279255319148937,752
size_liquidity_controls,full_2010_2024,0.0001503642023034235,-0.0011759927013354275,0.22537840401976406,0.010590889232135416,0.49655355249204663,3772
size_liquidity_controls,train,-0.0024874937115732802,-0.005075694613101737,0.1977143435645848,-0.19972116225882536,0.48740609809986746,2263
size_liquidity_controls,validation,-0.008013639389392096,-0.01931749354163587,0.26861603658868854,-0.47358520787085,0.47820343461030385,757
size_liquidity_controls,development_test,0.016306778002857264,0.030887862292903488,0.25364043953136756,1.0205867651076188,0.5425531914893617,752
full_regularised_linear,full_2010_2024,0.0250509500274543,0.030886807516147547,0.19445390448674693,2.045068235173483,0.5840402969247084,3772
full_regularised_linear,train,0.03611724902208822,0.03969110063238994,0.1682179632817524,3.408337269861662,0.6252761820592134,2263
full_regularised_linear,validation,0.023198880589693494,0.031047753647908412,0.2366900304390793,1.5559202545595279,0.5640686922060766,757
full_regularised_linear,development_test,-0.006386573989130306,-0.00646089986755439,0.21651550387590712,-0.4682515441842068,0.4800531914893617,752
