period,gross_sharpe,after_commission_sharpe,after_slippage_sharpe,net_sharpe,commission_sharpe_drag,slippage_sharpe_drag,borrow_sharpe_drag,total_sharpe_drag
train,1.5804264587433767,1.3109656566660661,0.50043461700847,0.3950154791352082,0.2694608020773106,0.8105310396575961,0.10541913787326185,1.1854109796081684
validation,1.9876065777703082,1.8521205749409264,1.4444178296949048,1.3777632456459996,0.13548600282938184,0.40770274524602157,0.06665458404890523,0.6098433321243086
development_test,0.8815561218504386,0.7135780821386849,0.20813243331672016,0.14121722955318788,0.16797803971175373,0.5054456488219647,0.06691520376353227,0.7403388922972507
full_2010_2024,1.2825758051967497,1.1239709918233802,0.6464368773485879,0.5796360999574535,0.1586048133733695,0.4775341144747923,0.06680077739113444,0.7029397052392963
