year,yearly_overnight_return,yearly_intraday_return,yearly_close_to_close_return
2010,0.10559032909336086,0.1615239775539441,0.28186503681799535
2011,0.06003387539372951,-0.041074448715040957,0.0150027637079162
2012,0.045916619955768345,0.15993590832403926,0.21186801305341674
2013,0.1503670088411626,0.2144809088926518,0.39549304839695854
2014,0.1045503177376208,0.0234640030697304,0.12896517550506847
2015,-0.016190865537053956,0.005730827084116319,-0.011907038258114344
2016,-0.01261574050210812,0.21686117429210716,0.20083732167880153
2017,0.16095077732502872,0.045140040100895895,0.2127440838183532
2018,0.11912572080572836,-0.17815030637714335,-0.0813495896923423
2019,0.1293398161019652,0.15790057886496434,0.3070837949129013
2020,0.2485085880711453,-0.028963497990154297,0.20878440669096432
2021,0.29862974906923,-0.011827661000371248,0.28157103767638114
2022,-0.10950432522787112,-0.026905140132167715,-0.13419784497825948
2023,0.06411587028946664,0.12487313345687823,0.19487467406607184
2024,0.21685826914643336,-0.058290310565182635,0.1445975131428483
