aum_level,net_ann_return,net_ann_vol,net_sharpe,max_drawdown,avg_daily_turnover,avg_deployed_gross_ratio,fraction_days_full_gross_deployed,fraction_days_any_stock_adv_cap_binding,borrow_sharpe_drag,total_cost_sharpe_drag
50m,0.015778778834741436,0.08880200886400925,0.2204243387539366,-0.3662240950830159,1.7212633862255668,0.8606316931127834,0.609912070343725,0.9946709299227284,0.11964661913994476,1.0962903074688126
250m,0.02739123802353527,0.048653143244772164,0.5796360999574535,-0.13046983621383978,0.6178411739356681,0.30892058696783403,0.021316280309086066,1.0,0.06680077739113444,0.7029397052392963
1b,0.007722158456198613,0.015576877126860901,0.501614683938038,-0.0383317381130579,0.17304587536336788,0.08652293768168394,0.0,1.0,0.05586650333339094,0.612393032988864
