date,r_on,r_id,r_cc,cum_overnight,cum_intraday,cum_close_to_close,year
2010-01-04,0.010411453531841879,0.007306701716893498,0.017806111487012402,0.010411453531841808,0.0073067017168935156,0.0178061114870125,2010
2010-01-05,-0.0002687348169739637,0.0009210522725430836,0.000659175812981718,0.010139920794808521,0.00823448384365788,0.01847702465800971,2010
2010-01-06,-0.0004941008093839451,0.0029151131392619175,0.0024324520446430543,0.009640809842352827,0.011173601434967484,0.0209544211790611,2010
2010-01-07,-0.0010454647951526268,0.00846109258837065,0.0074036196141447335,0.008585265919913265,0.01972923489962497,0.02851317935685005,2010
2010-01-08,-0.0032047797638979406,0.007250067758032417,0.004019509077001774,0.005352972269527356,0.027122340947493884,0.03264729741709105,2010
2010-01-11,0.004877939589252558,-0.004585273108049364,0.0002292563216860145,0.010257023334133697,0.022412704498870673,0.03288403833809572,2010
2010-01-12,-0.006881299970131245,-0.004635543962633989,-0.011482134866842863,0.0033051417096396918,0.017673265459210663,0.021024324508088332,2010
2010-01-13,0.0031709497830557476,0.008278367197056703,0.011464600172784105,0.006486571931082485,0.026097938437309898,0.03272996015526042,2010
2010-01-14,-0.0021203050307812056,0.005007098575116902,0.002879306944183344,0.004352513389203283,0.031235711962789736,0.03570350670100164,2010
2010-01-15,0.0006140627782486798,-0.01305378558097518,-0.012468757529602893,0.004969248883916144,0.017774182095383173,0.022789570803387393,2010
2010-01-19,0.0005892107338955129,0.013617810582106843,0.014205432161512465,0.0055613875525935,0.03163403812251664,0.03731873866693736,2010
2010-01-20,-0.0076656129496938145,-0.003566146840158036,-0.011186972015540437,-0.0021468568415417,0.027955079657266513,0.02571428296627465,2010
2010-01-21,0.0017427183462114058,-0.016369237457394405,-0.014641160668095609,-0.0004078798621348634,0.011128238862821993,0.010696635349805028,2010
2010-01-22,-0.00227860569537145,-0.017196469127539166,-0.019431601138478177,-0.002685556160129443,-0.006259596680765589,-0.008942818540314312,2010
2010-01-25,0.009175592565559306,-0.006477504840292222,0.0026209977931986243,0.006465394836292493,-0.012696554953259831,-0.006345259854774854,2010
2010-01-26,-0.003578373893895124,-0.001869726412714121,-0.005453488103545443,0.002863885342301531,-0.014542542281827386,-0.011764144159188361,2010
2010-01-27,-0.0021004460050176206,0.00997446500444062,0.007838491964432743,0.0007574239007579475,-0.00471313135645246,-0.004017865344215776,2010
2010-01-28,0.002940024902271879,-0.017366725799698005,-0.014539319874219763,0.0036996756481597615,-0.021998005496224993,-0.018498768188984438,2010
2010-01-29,0.0049755394127759265,-0.015249290564648904,-0.010376062121028262,0.008693622942937518,-0.03691184208321918,-0.028682885942121317,2010
2010-02-01,0.005404700960040641,0.009121049823117136,0.014591095818250225,0.014145310335244021,-0.02812746701080615,-0.01451030486099647,2010
2010-02-02,0.0017342402009105351,0.009012604957412565,0.01076003609024641,0.01590408190199244,-0.019368363802014565,-0.00390640017473487,2010
2010-02-03,-0.00422370689886042,-0.002597726898104778,-0.006829347749505985,0.011613200822682579,-0.021915776980498625,-0.010709069758998768,2010
2010-02-04,-0.007529789619704617,-0.024953168658717086,-0.03228643186026912,0.003995966243971694,-0.04632207755993456,-0.04264974396820709,2010
2010-02-05,0.0007688826139123511,0.0022970072796496,0.0030278544244745093,0.0047679212868547705,-0.044131472429648655,-0.03975102675970932,2010
2010-02-08,0.0006797008756420376,-0.009116574690968741,-0.008454978428014768,0.005450862922770527,-0.05284571925599002,-0.04786991111397931,2010
2010-02-09,0.012265014618205285,0.0018359074540469948,0.014131718505561428,0.017782732454405314,-0.05110683165183949,-0.034414676717166914,2010
2010-02-10,-0.00178823338792122,0.002076023468989465,0.00026934073841235727,0.015962699390580593,-0.049136907164785026,-0.03415460525319369,2010
2010-02-11,-0.0024422558100403763,0.015406002153540715,0.012970600750013597,0.01348145858520966,-0.034487908308843296,-0.021627010251693557,2010
2010-02-12,-0.009695286235906563,0.014250234533228575,0.0043926385386971025,0.0036554657494420884,-0.0207291345575763,-0.01732937135170476,2010
2010-02-16,0.00796980240914346,0.009309013459803638,0.01729761149757322,0.011654401498321976,-0.011613088890379153,-0.0003315165872705972,2010
2010-02-17,0.003973963623107845,0.0016793786282136307,0.005649485408545095,0.01567467928903321,-0.0099532130354556,0.0053160959231521865,2010
2010-02-18,-0.0016638417581635774,0.009260133667786075,0.007587654095245535,0.013984757344922771,-0.0007852474508018847,0.012944086715399816,2010
2010-02-19,-0.002561155542220806,0.007266790849467484,0.0046800110980951114,0.01138778466392143,0.006475837169675591,0.01768467628297765,2010
2010-02-22,0.003497338695063034,-0.0020156744340260216,0.00147464054561845,0.014924950298940587,0.004447109556227735,0.0191853953692791,2010
2010-02-23,-0.0023870793831328205,-0.009685455517944266,-0.012060971542099794,0.012502243874654928,-0.005281418243506808,0.006893029319606558,2010
2010-02-24,0.002798527161830391,0.006358703126330827,0.009179634920138745,0.015335758905552499,0.0010437019121274371,0.016135939732393023,2010
2010-02-25,-0.013097500709202563,0.013212477011415927,-8.89657787457413e-05,0.0020373980832082417,0.014269968811064127,0.01604553840720313,2010
2010-02-26,0.0005734527608958134,-0.0015027589814677533,-0.0009371023001965418,0.002612019195660009,0.01274576550580031,0.015093399796057394,2010
2010-03-01,0.0038936529164802806,0.012620226525116985,0.016561972728538234,0.006515842408299388,0.025526846478836518,0.031905349000398875,2010
2010-03-02,0.0030581549800162322,0.0032611391032519635,0.006321323966719085,0.009593923844225527,0.028871232179323414,0.0384283570144206,2010
2010-03-03,0.002670280838944817,-0.0016004162058921487,0.0010751177956446949,0.0122898231541817,0.027224609985567527,0.03954478982054899,2010
2010-03-04,0.0020208082169970915,0.0015032361864274041,0.003529477402023325,0.01433546674679409,0.02876877119088661,0.043213839664611786,2010
2010-03-05,0.004930127196159652,0.012609519484491688,0.017588454634702176,0.019336269617431734,0.04174105105625481,0.06156235895784645,2010
2010-03-08,0.0004950210187681269,0.001503586929784669,0.001988104604548783,0.019840862496085077,0.04330739928484295,0.06367285597170613,2010
2010-03-09,-0.003710880350604282,0.006660939615937603,0.0029134724472141523,0.016056355078704954,0.05025680687234013,0.06677183753042937,2010
2010-03-10,1.2282372719711443e-05,0.006954597652136183,0.006932657505026843,0.01606883466156228,0.05756092039555449,0.07416740131603583,2010
2010-03-11,-0.004207496231609977,0.008161520460996522,0.0039057209358013523,0.011793728868667364,0.06619222548611314,0.07836279942391111,2010
2010-03-12,0.003651875047286741,-0.0030671426604177033,0.0005532431712916051,0.015488673140124032,0.0629220618271189,0.07895939627886728,2010
2010-03-15,-0.001990892679846724,-1.2216590935478222e-05,-0.002018938726976636,0.013466944174302053,0.0629090765430933,0.07678104336888447,2010
2010-03-16,0.0023116151121789384,0.006724685336775548,0.009050609669503886,0.01580968967814922,0.07005680562444816,0.08652656829193739,2010
2010-03-17,0.0025027872909475796,0.0056528753391534335,0.008162475307356603,0.018352045259496963,0.07610570335245592,0.09539531457640726,2010
2010-03-18,-0.00043222885847436765,-0.0016955080453894267,-0.0021472042611195633,0.017911884117449484,0.0742811574747324,0.09304327708933835,2010
2010-03-19,-0.0021689265001900004,-0.006279358591275323,-0.008473888418199755,0.015704108057128963,0.06753536085909828,0.08378095032302002,2010
2010-03-22,-0.006378532272699864,0.017763042417919914,0.011242921557520894,0.009225406624372656,0.08649803675666767,0.09596581453303732,2010
2010-03-23,0.00129387317823746,0.00785900411126926,0.00916897407650934,0.010531216308799829,0.09503682929442414,0.10601469667523111,2010
2010-03-24,-0.003647092131708904,-0.004241508224638707,-0.007886038263272858,0.006845715860953838,0.09039222157668947,0.09729262245750814,2010
2010-03-25,0.007111372134254961,-0.011771468229228487,-0.00475832283202287,0.014005770428221487,0.07755670418300165,0.09207134991865829,2010
