return_leg,annualised_return,annualised_volatility,sharpe,mean_daily_return,n_days
r_on,0.09969227217940668,0.12118065177704311,0.8453530712358026,0.00040650966727809405,3774
r_id,0.04500419071987127,0.14839491201827287,0.37088332323608453,0.00021840157984390248,3774
r_cc,0.14772859271430616,0.19989494471170147,0.7898598813567198,0.0006265436401340976,3774
