period,n_days,gross_return,net_return,gross_cumulative_return,net_cumulative_return,gross_sharpe,net_sharpe,max_drawdown,turnover,cost_drag,deployed_gross_ratio,capacity_binding_frequency,aum_level,basket_frac,weighting,short_treatment
full_2010_2024,3753,0.11964184440922221,0.015778778834741436,4.38180970765426,0.2625789776599037,1.3167146462227493,0.2204243387539366,-0.3662240950830159,1.7212633862255668,0.09737796534173167,0.8606316931127834,0.9946709299227284,50m,0.01,equal,tiered
full_2010_2024,3753,0.06333007694009662,0.02739123802353527,1.4955379508496183,0.4954794526724786,1.2825758051967497,0.5796360999574535,-0.13046983621383978,0.6178411739356681,0.034395730126500663,0.30892058696783403,1.0,250m,0.01,equal,tiered
full_2010_2024,3753,0.017434103618148455,0.007722158456198613,0.2935705389699059,0.12138354628085923,1.114007716926902,0.501614683938038,-0.0383317381130579,0.17304587536336788,0.00959258286747858,0.08652293768168394,1.0,1b,0.01,equal,tiered
