vol_regime,mean_ic,icir,positive_ic_day_fraction,n_days
low_vol,0.023290103552650293,2.6777330640639927,0.603035143769968,1252
mid_vol,0.021754623843567085,1.9127974859011105,0.5824,1250
high_vol,0.02947963654859379,1.8766927065938614,0.5638977635782748,1252
