subperiod,mean_ic,icir,positive_ic_day_fraction,n_days
2010-2012,0.04608903093588003,3.747502117718631,0.6347941567065073,753
2013-2015,0.030950060811959272,3.7874614125506043,0.6349206349206349,756
2016-2018,0.03133958656290021,2.8762917432224757,0.6061007957559682,754
2019-2021,0.023198880589693494,1.5559202545595279,0.5640686922060766,757
2022-2024,-0.006386573989130306,-0.4682515441842068,0.4800531914893617,752
