,roll_spread_proxy
count,2881365.0
mean,0.0072553242614103106
std,0.009791338907928644
min,0.0
1%,0.0
5%,0.0
25%,0.0
50%,0.004762931946709732
75%,0.011245448733623
95%,0.02408874572319479
99%,0.046657650768734085
max,0.14106283434901917
