date,aum_level,aum,basket_frac,weighting,short_treatment,gross_pnl,net_pnl,commission_cost,slippage_cost,borrow_cost,long_gross_pnl,short_gross_pnl,long_notional,short_notional,gross_exposure,deployed_gross_ratio,unused_gross_notional,long_names,short_names,capacity_binding_frequency,any_stock_adv_cap_binding,turnover,long_unused_pre_neutralize,short_unused_pre_neutralize,side_capacity_binding_pre_neutralize,period,gross_return,net_return,transaction_cost,total_cost,cost_drag
2010-02-02,250m,250000000,0.01,equal,tiered,80639.50168200901,67670.98321733908,3050.5650575794,9151.695172738202,766.2582343523335,-68940.4938426679,149579.99552467692,15252825.287896996,15252825.287897,30505650.575793996,0.12202260230317599,219494349.42420602,7,7,1.0,True,0.24404520460635198,0.0,109747174.712103,True,train,0.000322558006728036,0.0002706839328693563,12202.260230317603,12968.518464669936,5.187407385867974e-05
2010-02-03,250m,250000000,0.01,equal,tiered,-47632.0855384305,-54723.05140965513,1582.82776495,4748.48329485,759.6548114246032,-99794.76211884238,52162.67658041187,7914138.824750002,7914138.824750001,15828277.649500001,0.063313110598,234171722.3505,7,7,1.0,True,0.126626221196,0.0,117085861.17525,True,train,-0.00019052834215372202,-0.00021889220563862052,6331.3110598,7090.965871224604,2.8363863484898414e-05
2010-02-04,250m,250000000,0.01,equal,tiered,28534.57299491389,13883.329562593006,3481.8772835541504,10445.63185066245,723.7342981042976,-30225.431236758846,58760.00423167274,17409386.417770755,17409386.41777075,34818772.8355415,0.139275091342166,215181227.1644585,7,7,1.0,True,0.278550182684332,0.0,107590613.58222926,True,train,0.00011413829197965557,5.5533318250372024e-05,13927.509134216602,14651.2434323209,5.86049737292836e-05
2010-02-05,250m,250000000,0.01,equal,tiered,6160.6218361320125,-7195.456050481881,3101.0223813053503,9303.06714391605,951.9883613924883,27790.461169660615,-21629.8393335286,15505111.90652675,15505111.906526752,31010223.813053504,0.12404089525221401,218989776.1869465,7,7,1.0,True,0.24808179050442802,0.0,109494888.09347326,True,train,2.464248734452805e-05,-2.8781824201927523e-05,12404.089525221401,13356.07788661389,5.342431154645556e-05
2010-02-08,250m,250000000,0.01,equal,tiered,43379.991157994635,30382.392574246915,3083.41325519535,9250.23976558605,663.9455629662976,253592.74256837086,-210212.75141037628,15417066.275976751,15417066.275976751,30834132.551953502,0.123336530207814,219165867.4480465,7,7,1.0,True,0.246673060415628,0.0,109582933.72402325,True,train,0.00017351996463197853,0.00012152957029698766,12333.6530207814,12997.598583747696,5.199039433499078e-05
2010-02-09,250m,250000000,0.01,equal,tiered,25741.182818138237,5853.548266505678,4540.399787596501,13621.199362789504,1726.0354012465477,32248.902573367253,-6507.71975522902,22701998.9379825,22701998.9379825,45403997.875965,0.18161599150385999,204596002.124035,7,7,1.0,True,0.36323198300771997,0.0,102298001.0620175,True,train,0.00010296473127255295,2.3414193066022713e-05,18161.599150386006,19887.634551632553,7.955053820653021e-05
2010-02-10,250m,250000000,0.01,equal,tiered,130371.37481529416,121477.07663656975,2038.4686485199995,6115.405945559999,740.4235846444444,32775.63194710133,97595.74286819283,10192343.242600001,10192343.242599998,20384686.4852,0.0815387459408,229615313.5148,7,7,1.0,True,0.1630774918816,2.9802322387695312e-08,114807656.7574,True,train,0.0005214854992611766,0.000485908306546279,8153.874594079998,8894.298178724443,3.557719271489777e-05
2010-02-11,250m,250000000,0.01,equal,tiered,149769.43522628426,123618.19165059587,6185.6133275212005,18556.8399825636,1408.7902656036508,-126780.11009694343,276549.54532322765,30928066.637606,30928066.637606002,61856133.275212005,0.24742453310084803,188143866.724788,7,7,1.0,True,0.49484906620169605,0.0,94071933.362394,True,train,0.000599077740905137,0.0004944727666023835,24742.453310084802,26151.24357568845,0.00010460497430275381
2010-02-12,250m,250000000,0.01,equal,tiered,92316.95208616494,76614.67855073279,3546.6552780518505,10639.965834155553,1515.65242322475,202081.20541041496,-109764.25332425002,17733276.390259255,17733276.39025925,35466552.7805185,0.141866211122074,214533447.2194815,7,7,1.0,True,0.283732422244148,1.4901161193847656e-08,107266723.60974075,True,train,0.00036926780834465976,0.00030645871420293113,14186.621112207404,15702.273535432154,6.280909414172862e-05
2010-02-16,250m,250000000,0.01,equal,tiered,-5905.073194708708,-12767.737889576394,1289.1258711695002,3867.3776135085,1706.1612101896826,15075.19487704018,-20980.26807174889,6445629.3558475,6445629.3558475,12891258.711695,0.05156503484678,237108741.28830498,7,7,1.0,True,0.10313006969356,0.0,118554370.64415249,True,train,-2.362029277883483e-05,-5.107095155830558e-05,5156.503484678,6862.664694867683,2.745065877947073e-05
2010-02-17,250m,250000000,0.01,equal,tiered,-40544.67850539168,-47492.1032989708,1311.39446616615,3934.1833984984496,1701.846928914524,-47798.11077674637,7253.432271354693,6556972.330830749,6556972.33083075,13113944.661661498,0.052455778646645995,236886055.3383385,7,7,1.0,True,0.10491155729329199,0.0,118443027.66916925,True,train,-0.00016217871402156674,-0.00018996841319588318,5245.5778646645995,6947.424793579124,2.7789699174316494e-05
2010-02-18,250m,250000000,0.01,equal,tiered,-14438.171700782343,-25303.88349506417,2347.0155089899995,7041.04652697,1477.6497583218256,-67972.81765558384,53534.64595480149,11735077.544950001,11735077.54495,23470155.089900002,0.09388062035960001,226529844.91009998,7,7,1.0,True,0.18776124071920003,0.0,113264922.45505,True,train,-5.775268680312937e-05,-0.00010121553398025667,9388.06203596,10865.711794281826,4.3462847177127303e-05
2010-02-19,250m,250000000,0.01,equal,tiered,-54209.33273065231,-72693.64722038058,4075.8761721900005,12227.628516570001,2180.8098009682544,86694.3878941274,-140903.7206247797,20379380.86095,20379380.860950004,40758761.7219,0.1630350468876,209241238.2781,7,7,1.0,True,0.3260700937752,0.0,104620619.13904999,True,train,-0.00021683733092260925,-0.0002907745888815223,16303.504688760002,18484.314489728255,7.393725795891301e-05
2010-02-22,250m,250000000,0.01,equal,tiered,2816.7822809703744,-17321.19422351146,4551.612696615,13654.838089845001,1931.5257180218255,-55418.74182924135,58235.52411021172,22758063.483075,22758063.483075,45516126.96615,0.1820645078646,204483873.03385,7,7,1.0,True,0.3641290157292,1.4901161193847656e-08,102241936.516925,True,train,1.1267129123881498e-05,-6.928477689404584e-05,18206.450786460002,20137.976504481827,8.05519060179273e-05
2010-02-23,250m,250000000,0.01,equal,tiered,51875.43522183335,36434.14482278921,3696.9638628900007,11090.891588670002,653.434947484127,112234.59295624879,-60359.157734415436,18484819.314450003,18484819.314450003,36969638.62890001,0.14787855451560003,213030361.3711,7,7,1.0,True,0.29575710903120006,0.0,106515180.68555,True,train,0.0002075017408873334,0.00014573657929115683,14787.855451560003,15441.29039904413,6.176516159617652e-05
2010-02-24,250m,250000000,0.01,equal,tiered,-91141.82426439758,-105866.93136591036,3473.3001756393996,10419.9005269182,831.9063989551112,-289072.99271010543,197931.16844570788,17366500.878197007,17366500.878197003,34733001.756394014,0.13893200702557607,215266998.24360597,7,7,1.0,True,0.27786401405115213,0.0,107633499.121803,True,train,-0.0003645672970575903,-0.00042346772546364143,13893.200702557599,14725.107101512709,5.8900428406050837e-05
2010-02-25,250m,250000000,0.01,equal,tiered,280023.2483240225,262803.42208674224,3872.75792558,11618.273776740001,1728.7945349603176,192663.83834641924,87359.4099776033,19363789.627899997,19363789.6279,38727579.255799994,0.1549103170232,211272420.7442,7,7,1.0,True,0.3098206340464,84591945.444803,105636210.3721,True,train,0.00112009299329609,0.001051213688346969,15491.03170232,17219.82623728032,6.887930494912127e-05
2010-02-26,250m,250000000,0.01,equal,tiered,33329.88109677776,19261.560424659438,2987.5762316876003,8962.728695062799,2118.015745367897,122354.13854887272,-89024.25745209497,14937881.158437999,14937881.158438,29875762.316876,0.119503049267504,220124237.683124,7,7,1.0,True,0.239006098535008,0.0,110062118.841562,True,train,0.00013331952438711103,7.704624169863776e-05,11950.3049267504,14068.320672118296,5.6273282688473183e-05
2010-03-01,250m,250000000,0.01,equal,tiered,-93419.39606514257,-111877.14382719375,4189.7165880084485,12569.149764025344,1698.8814100173806,97606.3570056541,-191025.75307079667,20948582.940042242,20948582.940042242,41897165.880084485,0.16758866352033794,208102834.11991552,7,7,1.0,True,0.3351773270406759,45617161.526925,104051417.05995776,True,train,-0.0003736775842605703,-0.000447508575308775,16758.866352033794,18457.747762051175,7.38309910482047e-05
2010-03-02,250m,250000000,0.01,equal,tiered,112651.05029476853,104700.35369108689,1892.0569810294,5676.170943088201,382.46867956404765,129138.8562010406,-16487.805906272082,9460284.905147001,9460284.905147,18920569.810294002,0.07568227924117601,231079430.189706,7,7,1.0,True,0.15136455848235203,0.0,115539715.094853,True,train,0.0004506042011790741,0.00041880141476434755,7568.227924117601,7950.696603681648,3.180278641472659e-05
2010-03-03,250m,250000000,0.01,equal,tiered,24488.066169700898,18597.053799555077,1292.9505255717002,3878.8515767151,719.2102678590238,40167.61986588127,-15679.553696180366,6464752.627858499,6464752.6278585,12929505.255716998,0.051718021022867995,237070494.744283,7,7,1.0,True,0.10343604204573599,22729036.715775013,118535247.3721415,True,train,9.795226467880359e-05,7.438821519822031e-05,5171.8021022868,5891.012370145823,2.3564049480583293e-05
2010-03-04,250m,250000000,0.01,equal,tiered,-152522.8293921142,-183814.24128140166,7657.383103016,22972.149309048003,661.879477223492,-113388.69004695243,-39134.13934516177,38286915.51508001,38286915.515080005,76573831.03016001,0.30629532412064003,173426168.96984,7,7,1.0,True,0.6125906482412801,2.9802322387695312e-08,86713084.48492,True,train,-0.0006100913175684568,-0.0007352569651256066,30629.532412064003,31291.411889287494,0.00012516564755714996
