window_length,start_date,end_date,net_return,max_drawdown_within_window,avg_turnover,avg_deployed_gross_ratio
3m,2021-10-25,2022-01-24,-0.06467691894200223,-0.06436317312006867,0.815209572736013,0.4076047863680065
6m,2021-09-07,2022-03-07,-0.07422323353068305,-0.07735791563540984,0.9577783687942442,0.4788891843971221
12m,2021-10-13,2022-10-12,-0.10122701387787203,-0.10225232652199756,0.8479697115390374,0.4239848557695187
