year,gross_return,net_return,net_vol_ann,net_sharpe,max_drawdown,avg_turnover,avg_deployed_gross_ratio
2010,0.047006146700900864,0.03061188908213963,0.012671843270579885,2.591108872125563,-0.005131942639215348,0.31356327076677865,0.15678163538338932
2011,0.08249080878506798,0.06069169556644938,0.02187222302206081,2.705044475647632,-0.006432134750771534,0.3760362300442778,0.1880181150221389
2012,0.0014165780094630431,-0.017068949536821032,0.01860479362254011,-0.9234145174409113,-0.026049057277330312,0.3420276048690642,0.1710138024345321
2013,0.08127565732109021,0.06090300948604943,0.024787804706261695,2.397602717608386,-0.007935217019167218,0.33917869086882474,0.16958934543441237
2014,0.03975734414295928,0.011331131229483482,0.018457607819207557,0.6196322384646866,-0.02276900575693508,0.4972541912771443,0.24862709563857216
2015,0.006800917240925353,-0.018147938483761616,0.013535915256971648,-1.3462439749357669,-0.021829882770439846,0.4529343696177684,0.2264671848088842
2016,0.02444606567980845,-0.0015513649196077228,0.022079859187585555,-0.059302638688102594,-0.02356122903502722,0.4636662727239011,0.23183313636195055
2017,0.015380070531756607,-0.013761587754550941,0.015670276049795245,-0.879980555776891,-0.02586859032575417,0.5307769546905732,0.2653884773452866
2018,0.0022836009245614797,-0.03635766675777674,0.03192358224549346,-1.1487560966929602,-0.047710676722863554,0.7085616582780503,0.35428082913902514
2019,0.040009830423189285,0.0008291616991644712,0.022715571756366154,0.04780491200920226,-0.02073057248993193,0.6814165699494354,0.3407082849747177
2020,0.39613072916781666,0.33371720430092067,0.11676861367130295,2.5151571977731177,-0.049258054316747346,0.8157874815220636,0.4078937407610318
2021,0.08145860290984475,0.020747059392738132,0.05814641378448231,0.3820614690356735,-0.04047580937206441,1.0111287193868657,0.5055643596934328
2022,-0.031776483316619974,-0.07478884931372987,0.07181241869903379,-1.0509405561956076,-0.08202258719258693,0.831631801456392,0.415815900728196
2023,0.0679382761602878,0.019869934066519157,0.036312426136312456,0.564264019762324,-0.04656457738030173,0.8315728543336524,0.4157864271668262
2024,0.1475202555608166,0.08294640630720318,0.08446325697116316,0.9896382926114442,-0.06388545695845904,1.0492284233523455,0.5246142116761727
